Id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,20141013T000000,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,48,-122,1340,5650
1,20141209T000000,538000,3,2,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,48,-122,1690,7639
2,20150225T000000,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,48,-122,2720,8062
3,20141209T000000,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,48,-122,1360,5000
4,20150218T000000,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,48,-122,1800,7503
5,20140512T000000,1230000,4,5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,48,-122,4760,101930
6,,257500,3,2,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47,-122,2238,6819
7,20150115T000000,291850,3,2,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47,-122,1650,9711
8,20150415T000000,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,48,-122,1780,8113
9,20150312T000000,323000,3,3,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47,-122,2390,7570
10,20150403T000000,662500,3,3,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,48,-122,2210,8925
11,,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,48,-122,1330,6000
12,20140528T000000,310000,3,1,1430,19901,2,0,0,4,7,1430,0,1927,0,98028,48,-122,1780,12697
13,20141007T000000,400000,3,2,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,48,-122,1370,10208
14,20150312T000000,530000,5,2,1810,4850,2,0,0,3,7,1810,0,1900,0,98107,48,-122,1360,4850
15,20150124T000000,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,48,-122,2140,4000
16,20140731T000000,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,48,-122,1890,14018
17,20140529T000000,485000,4,1,1600,4300,2,0,0,4,7,1600,0,1916,0,98103,48,-122,1610,4300
18,20141205T000000,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47,-122,1060,5095
19,20150424T000000,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47,-122,1280,8850
20,20140514T000000,385000,4,2,1620,4980,1,0,0,4,7,860,760,1947,0,98133,48,-122,1400,4980
21,20140826T000000,2000000,3,3,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,48,-122,4110,20336
22,20140703T000000,285000,5,3,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47,-122,2240,7005
23,20140516T000000,252700,2,2,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47,-122,1220,8386
24,20141120T000000,329000,3,2,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47,-122,2200,6865
25,20141103T000000,233000,3,2,1710,4697,2,0,0,5,6,1710,0,1941,0,98002,47,-122,1030,4705
26,20140626T000000,937000,3,2,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,48,-122,1760,3573
27,20141201T000000,667000,3,1,1400,1581,2,0,0,5,8,1400,0,1909,0,98112,48,-122,1860,3861
28,20140624T000000,438000,3,2,1520,6380,1,0,0,3,7,790,730,1948,0,98115,48,-122,1520,6235
29,20150302T000000,719000,4,3,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,48,-122,2630,6026
30,20141110T000000,580500,3,3,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,48,-122,2580,3980
31,20141201T000000,280000,2,2,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,48,-122,1390,1756
32,20140624T000000,687500,4,2,2330,5000,2,0,0,4,7,1510,820,1929,0,98117,48,-122,1460,5000
33,20141110T000000,535000,3,1,1090,3000,2,0,0,4,8,1090,0,1929,0,98117,48,-122,1570,5080
34,20141203T000000,322500,4,3,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47,-122,2020,8720
35,20140613T000000,696000,3,3,2300,3060,2,0,0,3,8,1510,790,1930,2002,98115,48,-122,1590,3264
36,20140528T000000,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,48,-122,2160,11467
37,20141230T000000,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,48,-122,1730,4700
38,20150213T000000,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47,-122,1290,7800
39,20140620T000000,605000,4,3,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,48,-122,2620,11884
40,20140715T000000,625000,4,3,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,48,-122,2470,5669
41,20140811T000000,775000,4,2,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47,-122,2410,30617
42,20140707T000000,861990,5,3,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,48,-122,3625,5639
43,20141028T000000,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,48,-122,1580,2640
44,20140729T000000,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47,-122,1340,8808
45,20140718T000000,488000,3,3,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,48,-122,3050,9232
46,20150325T000000,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47,-122,1228,8840
47,20140716T000000,785000,4,3,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,48,-122,2680,13685
48,20150428T000000,450000,3,2,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,48,-122,970,5100
49,20150311T000000,1350000,3,3,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,47,-122,2680,72513
