Id,Label,Gender,start date,end date,peak moment
0,MmeThenardier,F,2/11/1931,2/11/1936,12541
1,Brujon,M,9/2/1932,9/2/1937,12640
2,Valjean,M,4/4/1933,4/4/1938,13061
3,Claquesous,M,1/6/1934,1/6/1939,13485
4,Marius,M,6/11/1935,6/11/1940,14006
5,Labarre,M,10/10/1935,10/10/1940,13980
6,Gribier,M,1/7/1936,1/7/1941,14246
7,MlleVaubois,F,5/8/1937,5/8/1942,14646
8,Fauchelevent,M,2/1/1938,2/1/1943,14794
9,Bahorel,M,8/8/1940,8/8/1945,15745
10,Grantaire,M,7/6/1941,7/6/1946,16047
11,Child2,M,7/3/1944,7/3/1949,17052
12,Prouvaire,M,4/4/1945,4/4/1950,17444
13,Zephine,F,9/1/1945,9/1/1950,17357
14,Gavroche,M,12/9/1945,12/9/1950,17604
15,MmeBurgon,F,6/12/1946,6/12/1951,18055
16,MmeHucheloup,F,9/10/1946,9/10/1951,17997
17,Fameuil,M,4/3/1948,4/3/1953,18510
18,Favourite,F,13/04/1948,13/04/1953,18549
19,Blacheville,M,13/05/1945,13/05/1950,17484
20,Perpetue,F,13/10/1940,13/10/1945,15809
21,Enjolras,M,14/03/1938,14/03/1943,14868
22,Anzelma,F,16/08/1930,16/08/1935,12101
23,Bossuet,M,17/06/1940,17/06/1945,15692
24,Eponine,F,17/09/1930,17/09/1935,12130
25,Combeferre,M,18/02/1944,18/02/1949,17032
26,MlleGillenormand,F,18/07/1936,18/07/1941,14263
27,Javert,M,18/07/1937,18/07/1942,14628
28,BaronessT,F,18/11/1940,18/11/1945,15844
29,Magnon,F,19/10/1939,19/10/1944,15450
30,LtGillenormand,M,19/11/1939,19/11/1944,15480
31,Toussaint,M,19/12/1941,19/12/1946,16242
32,Boulatruelle,M,20/08/1933,20/08/1938,13200
33,Champmathieu,M,20/09/1940,20/09/1945,15785
34,MotherPlutarch,F,20/09/1942,20/09/1947,16516
35,Brevet,M,21/12/1939,21/12/1944,15513
36,Bamatabois,M,22/02/1936,22/02/1941,14114
37,Babet,M,22/04/1935,22/04/1940,13810
38,Feuilly,M,22/04/1943,22/04/1948,16732
39,Joly,M,22/04/1944,22/04/1949,17097
40,Courfeyrac,M,23/01/1942,23/01/1947,16276
41,Listolier,M,23/07/1949,23/07/1954,19016
42,Gervais,M,25/08/1939,25/08/1944,15397
43,Isabeau,M,26/06/1939,26/06/1944,15336
44,Marguerite,F,26/12/1947,26/12/1952,18440
45,Scaufflaire,M,27/04/1937,27/04/1942,14545
46,Mabeuf,M,28/09/1943,28/09/1948,16889
47,Cochepaille,M,30/08/1938,30/08/1943,15037
48,Fantine,F,30/10/1950,30/10/1955,19479
49,Cosette,F,30/11/1933,30/11/1938,13300
,,,,,
,,,,,
