id,new_user_name,joined,last_stat,num_tweets,follower_cnt,friend_cnt,location
10898712,SaeidG,12/6/2007 09:38,12/29/2019 11:25,7423,1359,3830,Tabriz
22749856,Gephi graph viz,3/4/2009 08:43,12/29/2019 11:25,1671,11275,145,
32931447,SaeedI,4/18/2009 16:26,8/30/2018 23:43,401,229,1191,IRAN
155864901,SaeedSG,6/15/2010 10:43,12/29/2019 11:25,939,358,655,Tabriz
184400040,DadbehD,8/29/2010 13:14,12/29/2019 11:25,364,1025,5002,جمهوری اسلامی ایران
252062474,AliA,2/14/2011 12:09,12/29/2019 11:25,44,106,127,
268732304,SaeedM,3/19/2011 10:39,,793,877,3128,Spain
295020878,MHosseinM,5/8/2011 06:42,12/29/2019 11:25,15,72,351,Islamic Republic of Iran
376388111,NealA,9/19/2011 20:05,12/29/2019 11:25,507,12264,104,
546506656,Iman,4/6/2012 04:11,12/19/2019 22:14,23525,2443,3345,تو عالم هپروت بین یه عالمه صفر
610833618,Reza,6/17/2012 12:05,,2434,391,475,ایران
775160658,Bedr,8/23/2012 04:35,8/6/2019 17:45,4987,450,297,Tehran - Iran
926124451,TinaA,11/4/2012 20:41,,176,3,63,
991585872,Babak,12/5/2012 19:19,,306,26,58,
1608930366,VahidN,7/20/2013 20:12,12/29/2019 11:25,168,120,194,
2154939067,Digesttt Podcast,10/25/2013 13:38,12/29/2019 11:25,493,6589,74,Tehran
2201794440,Masood,11/18/2013 18:51,11/16/2019 16:30,8998,2250,322,
2272763665,HadiT,1/2/2014 09:24,12/29/2019 11:25,229,57,113,
2378839566,AdelT,3/8/2014 14:53,12/29/2019 11:25,7931,4905,542,Islamic Republic of Iran
2526742226,MohammadRA,5/27/2014 06:48,12/29/2019 11:25,6660,3858,884,Tehran
2964483412,MajidT,1/6/2015 16:22,12/29/2019 11:25,159,240,111,Tehran
2999027410,DD,1/26/2015 01:22,12/29/2019 11:25,4,0,93,
3232511401,FereshteM,6/1/2015 10:59,12/29/2019 11:25,30,55,109,
3236869597,Maedeh,6/5/2015 09:59,4/3/2013 18:10,131,108,110,SNA
759876151460270000,Gamer,7/31/2016 22:19,12/29/2019 11:25,567,323,1660,Islamic Republic of Iran
772007115590340000,,9/3/2016 09:43,12/29/2019 11:25,3930,6792,7464,بی سرزمین تر از باد
799017196521332000,Amir,11/16/2016 22:31,12/31/2019 17:11,1982,217,480,
826363953974501000,gephi-tutorials,1/31/2017 09:38,,47,186,26,
