Source,Target,Type,Id,Label,Weight
2,69,Orienté,8,,1
2,124,Orienté,1,,1
2,256,Orienté,2,,1
2,336,Orienté,6,,1
2,394,Orienté,10,,1
2,410,Orienté,5,,1
2,449,Orienté,4,,1
2,459,Orienté,7,,1
2,480,Orienté,3,,1
2,495,Orienté,9,,1
5,8,Orienté,13,,1
5,50,Orienté,16,,1
5,54,Orienté,11,,1
5,112,Orienté,15,,1
5,189,Orienté,14,,1
5,255,Orienté,15397,,1
5,280,Orienté,19,,1
5,399,Orienté,18,,1
5,419,Orienté,22,,1
5,453,Orienté,21,,1
5,475,Orienté,12,,1
5,478,Orienté,17,,1
21,9,Orienté,36,,1
21,79,Orienté,25,,1
21,185,Orienté,27,,1
21,190,Orienté,31,,1
21,229,Orienté,33,,1
21,253,Orienté,29,,1
21,257,Orienté,24,,1
21,281,Orienté,32,,1
21,284,Orienté,34,,1
21,290,Orienté,30,,1
21,375,Orienté,26,,1
21,382,Orienté,28,,1
21,392,Orienté,23,,1
21,417,Orienté,35,,1
41,38,Orienté,46,,1
41,74,Orienté,41,,1
41,215,Orienté,42,,1
41,269,Orienté,40,,1
41,289,Orienté,37,,1
41,300,Orienté,38,,1
41,358,Orienté,47,,1
41,466,Orienté,44,,1
41,483,Orienté,39,,1
41,487,Orienté,43,,1
41,498,Orienté,45,,1
44,32,Orienté,53,,1
44,123,Orienté,50,,1
44,131,Orienté,59,,1
44,136,Orienté,61,,1
44,172,Orienté,57,,1
44,207,Orienté,48,,1
44,221,Orienté,54,,1
44,253,Orienté,52,,1
44,261,Orienté,51,,1
44,316,Orienté,62,,1
44,346,Orienté,60,,1
44,369,Orienté,49,,1
44,432,Orienté,58,,1
44,460,Orienté,56,,1
44,464,Orienté,55,,1
71,48,Orienté,63,,1
71,118,Orienté,77,,1
71,125,Orienté,67,,1
71,150,Orienté,76,,1
71,157,Orienté,78,,1
71,174,Orienté,81,,1
71,185,Orienté,80,,1
71,204,Orienté,73,,1
71,240,Orienté,69,,1
71,243,Orienté,65,,1
71,294,Orienté,72,,1
71,305,Orienté,74,,1
71,335,Orienté,68,,1
71,346,Orienté,64,,1
71,350,Orienté,75,,1
71,366,Orienté,70,,1
71,407,Orienté,79,,1
71,418,Orienté,66,,1
71,477,Orienté,71,,1
72,29,Orienté,85,,1
72,111,Orienté,87,,1
72,162,Orienté,93,,1
72,165,Orienté,92,,1
72,175,Orienté,90,,1
72,185,Orienté,94,,1
72,206,Orienté,86,,1
72,213,Orienté,97,,1
72,233,Orienté,89,,1
72,310,Orienté,95,,1
72,325,Orienté,82,,1
72,352,Orienté,91,,1
72,368,Orienté,99,,1
72,375,Orienté,83,,1
72,387,Orienté,84,,1
72,392,Orienté,98,,1
72,446,Orienté,88,,1
72,512,Orienté,96,,1
80,65,Orienté,107,,1
80,75,Orienté,112,,1
80,114,Orienté,102,,1
80,293,Orienté,104,,1
80,309,Orienté,113,,1
80,344,Orienté,105,,1
80,398,Orienté,100,,1
80,405,Orienté,106,,1
80,425,Orienté,111,,1
80,443,Orienté,109,,1
80,450,Orienté,101,,1
80,470,Orienté,110,,1
80,474,Orienté,108,,1
80,505,Orienté,103,,1
87,22,Orienté,128,,1
87,28,Orienté,129,,1
87,56,Orienté,118,,1
87,68,Orienté,126,,1
87,93,Orienté,123,,1
87,128,Orienté,124,,1
87,186,Orienté,115,,1
87,187,Orienté,127,,1
87,243,Orienté,120,,1
87,331,Orienté,125,,1
87,363,Orienté,119,,1
87,436,Orienté,117,,1
87,437,Orienté,122,,1
87,442,Orienté,114,,1
87,449,Orienté,116,,1
87,471,Orienté,121,,1
113,57,Orienté,151,,1
113,64,Orienté,140,,1
113,82,Orienté,138,,1
113,85,Orienté,133,,1
113,97,Orienté,150,,1
113,99,Orienté,145,,1
113,100,Orienté,146,,1
113,135,Orienté,131,,1
113,169,Orienté,149,,1
113,173,Orienté,147,,1
113,177,Orienté,139,,1
113,236,Orienté,143,,1
113,246,Orienté,135,,1
113,248,Orienté,144,,1
113,251,Orienté,130,,1
113,293,Orienté,136,,1
113,315,Orienté,142,,1
113,355,Orienté,141,,1
113,390,Orienté,134,,1
113,408,Orienté,132,,1
113,489,Orienté,137,,1
113,501,Orienté,148,,1
120,51,Orienté,159,,1
120,62,Orienté,154,,1
120,73,Orienté,155,,1
120,151,Orienté,153,,1
120,164,Orienté,152,,1
120,222,Orienté,160,,1
120,227,Orienté,162,,1
120,228,Orienté,163,,1
120,231,Orienté,158,,1
120,254,Orienté,161,,1
120,356,Orienté,164,,1
120,439,Orienté,156,,1
120,494,Orienté,165,,1
120,509,Orienté,157,,1
142,27,Orienté,566,,1
142,126,Orienté,570,,1
142,289,Orienté,567,,1
142,346,Orienté,15400,,1
142,516,Orienté,561,,1
142,517,Orienté,562,,1
142,518,Orienté,563,,1
142,519,Orienté,564,,1
142,520,Orienté,565,,1
142,521,Orienté,568,,1
142,522,Orienté,569,,1
142,523,Orienté,571,,1
143,18,Orienté,179,,1
143,74,Orienté,170,,1
143,102,Orienté,178,,1
143,121,Orienté,172,,1
143,171,Orienté,176,,1
143,209,Orienté,166,,1
143,260,Orienté,182,,1
143,279,Orienté,173,,1
143,320,Orienté,175,,1
143,322,Orienté,181,,1
143,334,Orienté,183,,1
143,337,Orienté,169,,1
143,354,Orienté,168,,1
143,411,Orienté,167,,1
143,416,Orienté,180,,1
143,422,Orienté,171,,1
143,427,Orienté,177,,1
143,506,Orienté,174,,1
154,4,Orienté,196,,1
154,35,Orienté,187,,1
154,52,Orienté,186,,1
154,62,Orienté,194,,1
154,216,Orienté,184,,1
154,306,Orienté,191,,1
154,333,Orienté,195,,1
154,348,Orienté,198,,1
154,354,Orienté,189,,1
154,378,Orienté,197,,1
154,406,Orienté,185,,1
154,502,Orienté,190,,1
154,508,Orienté,193,,1
154,511,Orienté,188,,1
154,513,Orienté,192,,1
160,60,Orienté,200,,1
160,84,Orienté,211,,1
160,94,Orienté,202,,1
160,109,Orienté,203,,1
160,117,Orienté,213,,1
160,196,Orienté,212,,1
160,205,Orienté,204,,1
160,249,Orienté,210,,1
160,254,Orienté,206,,1
160,276,Orienté,201,,1
160,357,Orienté,205,,1
160,374,Orienté,207,,1
160,383,Orienté,208,,1
160,421,Orienté,209,,1
160,462,Orienté,199,,1
183,6,Orienté,228,,1
183,10,Orienté,216,,1
183,11,Orienté,220,,1
183,26,Orienté,217,,1
183,30,Orienté,229,,1
183,144,Orienté,218,,1
183,158,Orienté,234,,1
183,178,Orienté,222,,1
183,182,Orienté,231,,1
183,191,Orienté,232,,1
183,192,Orienté,214,,1
183,239,Orienté,215,,1
183,245,Orienté,219,,1
183,303,Orienté,223,,1
183,374,Orienté,224,,1
183,393,Orienté,230,,1
183,397,Orienté,221,,1
183,424,Orienté,226,,1
183,429,Orienté,233,,1
183,433,Orienté,225,,1
183,461,Orienté,227,,1
184,15,Orienté,235,,1
184,42,Orienté,242,,1
184,77,Orienté,237,,1
184,141,Orienté,245,,1
184,272,Orienté,240,,1
184,274,Orienté,241,,1
184,283,Orienté,239,,1
184,349,Orienté,243,,1
184,379,Orienté,236,,1
184,406,Orienté,238,,1
184,507,Orienté,244,,1
287,31,Orienté,258,,1
287,63,Orienté,254,,1
287,94,Orienté,252,,1
287,101,Orienté,255,,1
287,176,Orienté,250,,1
287,255,Orienté,246,,1
287,265,Orienté,248,,1
287,268,Orienté,257,,1
287,305,Orienté,259,,1
287,314,Orienté,256,,1
287,396,Orienté,251,,1
287,403,Orienté,249,,1
287,455,Orienté,247,,1
287,502,Orienté,253,,1
288,48,Orienté,272,,1
288,74,Orienté,260,,1
288,111,Orienté,270,,1
288,191,Orienté,269,,1
288,204,Orienté,271,,1
288,218,Orienté,267,,1
288,270,Orienté,268,,1
288,278,Orienté,266,,1
288,339,Orienté,262,,1
288,347,Orienté,273,,1
288,359,Orienté,274,,1
288,380,Orienté,261,,1
288,397,Orienté,265,,1
288,409,Orienté,263,,1
288,412,Orienté,264,,1
288,491,Orienté,275,,1
297,25,Orienté,280,,1
297,95,Orienté,278,,1
297,138,Orienté,285,,1
297,146,Orienté,286,,1
297,168,Orienté,281,,1
297,180,Orienté,284,,1
297,191,Orienté,282,,1
297,199,Orienté,276,,1
297,225,Orienté,279,,1
297,373,Orienté,277,,1
297,395,Orienté,287,,1
297,473,Orienté,283,,1
311,10,Orienté,298,,1
311,34,Orienté,291,,1
311,40,Orienté,290,,1
311,55,Orienté,294,,1
311,56,Orienté,288,,1
311,92,Orienté,296,,1
311,122,Orienté,292,,1
311,130,Orienté,297,,1
311,161,Orienté,303,,1
311,198,Orienté,299,,1
311,217,Orienté,304,,1
311,302,Orienté,301,,1
311,323,Orienté,300,,1
311,362,Orienté,295,,1
311,363,Orienté,293,,1
311,420,Orienté,289,,1
311,515,Orienté,302,,1
353,45,Orienté,311,,1
353,54,Orienté,306,,1
353,152,Orienté,310,,1
353,168,Orienté,307,,1
353,294,Orienté,308,,1
353,304,Orienté,312,,1
353,386,Orienté,305,,1
353,423,Orienté,309,,1
402,19,Orienté,315,,1
402,24,Orienté,325,,1
402,90,Orienté,317,,1
402,119,Orienté,313,,1
402,167,Orienté,316,,1
402,188,Orienté,323,,1
402,296,Orienté,320,,1
402,326,Orienté,318,,1
402,340,Orienté,322,,1
402,365,Orienté,15399,,1
402,400,Orienté,319,,1
402,425,Orienté,314,,1
402,465,Orienté,324,,1
402,500,Orienté,321,,1
430,3,Orienté,331,,1
430,48,Orienté,337,,1
430,86,Orienté,332,,1
