Id,Label,Type
11,Aldo Cardoso,1
14,Alessandro Rivera,1
24,Anders Narvinger,1
26,Ann-Kristin Achleitner,1
28,Anne-Claire Taittinger,1
30,Anne-Marie Mourer,1
33,Anthony Wyand,1
34,Antoine Arnault,1
35,Antoine Bernard de Saint-Affrique,1
36,Antoine Frerot,1
40,Antonio Belloni,1
42,Arthur van der Poel,1
47,Baron Herve Coppens d'Eeckenbrugge,1
49,Beatrice Lepagnol,1
50,Beatrice Majnoni d Intignano,1
52,Benoit Bazin,1
53,Benoit Ostertag,1
54,Benoit Potier,1
55,Bernadette Chirac,1
56,Bernard Arnault,1
58,Bernard de Laguiche,1
59,Bernard Delpit,1
62,Bernard Hours,1
63,Bernard Kasriel,1
64,Bernard Lepot,1
66,Bernhard Scheuble,1
67,Bertrand Collomb,1
68,Bertrand de Montesquiou,1
70,Betsy Atkins,1
73,Bruno Bonnell,1
75,Bruno Roger,1
76,Bruno Steve,1
77,Buford Alexander,1
78,C. Maury Devine,1
79,Candace K. Beinecke,1
81,Carlos Ghosn,1
82,Carole Giraud,1
84,Caroline Angeli,1
85,Caroline Catoire,1
86,Caroline Puel,1
88,Cathy Kopp,1
89,Cedric de Bailliencourt,1
90,Cesar Giron,1
91,Charles Casimir-Lambert,1
92,Charles de Croisset,1
93,Charles Edelstenne,1
94,Charles-Henri Filippi,1
95,Christel Bories,1
96,Christian Halary,1
97,Christian Moueza,1
98,Christian Mulliez,1
99,Christian Streiff,1
100,Christian Talgorn,1
101,Christiane Kuehne,1
102,Christine Chabauty,1
103,Christophe Burg,1
104,Christophe de Margerie,1
105,Christopher A. Viehbacher,1
106,Claude Bebear,1
107,Claude Clement,1
108,Claude Mandil,1
109,Claudie Haignere,1
111,Colette Lewiner,1
112,Cornelis van Lede,1
114,Daniel Bernard,1
116,Daniel Camus,1
117,Daniel Guillot,1
118,Daniela Weber-Rey,1
119,Daniele Ricard,1
121,David Azema,1
122,Delphine Arnault,1
123,Denis Duverne,1
124,Denis Hennequin,1
125,Denis Kessler,1
126,Denis Ranque,1
127,Denis Solvay,1
128,Diane Labruyere-Cuilleret,1
129,Didier Lombard,1
130,Diego Della Valle,1
131,Doina Palici-Chehab,1
132,Dominique de La Garanderie,1
133,Dominique Ferrero,1
134,Dominique Heriard Dubreuil,1
135,Dominique Lefebvre,1
136,Dominique Reiniche,1
137,Dominique Senequier,1
138,Dongsheng Li,1
139,Dr Jeong H. Kim,1
140,Dr Mohd Alhamadi,1
141,Drina Yue,1
144,Edmond Alphandery,1
145,Edward G. Krubasik,1
146,Eliane Rouyer-Chevalier,1
147,Elisabeth Badinter,1
148,Elisabeth Boyer,1
149,Elisabeth Lulin,1
150,Emiel Van Broekhoven,1
151,Emmanuel Faber,1
152,Eric Bourdais de Charbonniere,1
153,Eric Personne,1
155,Evelyn du Monceau,1
156,Felix Rohatyn,1
157,Fields Wicker-Miurin,1
158,Florence Tordjman,1
159,France Houssaye,1
161,Francesco Trapani,1
162,Francis Bouygues,1
163,Francis Mer,1
164,Franck Riboud,1
165,Francois Bertiere,1
166,Francois David,1
167,Francois Gerard,1
168,Francois Grappotte,1
169,Francois Heyman,1
170,Francois Jaclot,1
171,Francois Loos,1
172,Francois Martineau,1
173,Francois Veverka,1
174,Francois Villeroy de Galhau,1
175,Francois-Henri Pinault,1
176,Francoise Bettencourt Meyers,1
177,Francoise Gri,1
178,Francoise Malrieu,1
179,Frans J.G.M. Cremers,1
180,Frederic Lemoine,1
181,Frederic Oudea,1
182,Gabrielle Prunet,1
185,Georges Chodron de Courcel,1
186,Georges Plassat,1
187,Georges Ralli,1
188,Gerald Frere,1
189,Gerard de la Martiniere,1
190,Gerard Hauser,1
191,Gerard Lamarche,1
192,Gerard Mestrallet,1
193,Gerard Van Kemmel,1
194,Gerard Worms,1
195,Gerhard Cromme,1
196,Ghislaine Coinaud,1
197,Gianemilio Osculati,1
198,Gilles Hennessy,1
199,Gilles Schnepp,1
200,Giovanni Bisignani,1
201,Gordon Richard Thoman,1
202,Gunnar Brock,1
203,Guy de Selliers de Moranville,1
204,Helene Ploix,1
205,Helle Kristoffersen,1
206,Helman Le Pas de Secheval,1
207,Henri de Castries,1
208,Henri Lachmann,1
209,Henri Proglio,1
210,Henri Saint Olive,1
211,Henri-Calixte Suaudeau,1
212,Herbert Schimetschek,1
213,Herve Le Bouc,1
214,Hiroto Saikawa,1
