id,user,joined,last_stat,num_tweets,follower_cnt,friend_cnt,location
864348458324418560,Neda Soltani,2017-05-16 05:15:06,2019-12-29 11:25:32,264,141,191,
865845379501355008,Reza Forghani,2017-05-20 08:23:19,2019-12-29 11:25:32,0,27,118,
1209896485854294017,gholizad,2019-12-25 17:59:48,,6,3,98,
2999027410,درآمد ماهیانه 10 میلیون,2015-01-26 01:22:24,2019-12-29 11:25:32,4,0,92,
1135853847128236032,Arman Absalan,2019-06-04 10:20:35,2019-12-29 11:25:32,3,36,66,
1205190442666647553,FaTeMeH KhOsHkAm,2019-12-12 18:19:39,2019-12-29 11:25:32,1,9,28,Tabriz
1190635334012461061,Mahsayino,2019-11-02 14:22:53,2019-08-30 10:38:55,4,1,5,
1001587782102503424,Amin(ž),2018-05-29 22:15:10,,14,2,27,
268732304,Saeed.Mvh,2011-03-19 10:39:59,,791,877,3098,Spain
990526733454585856,شاهین,2018-04-29 09:42:31,,14,4,35,جمهوری اسلامی ایران
184400040,دادبه دادمهر 🇮🇷,2010-08-29 13:14:16,2019-12-29 11:25:32,356,1019,5000,جمهوری اسلامی ایران
926124451,tinaaaasgariiii,2012-11-04 20:41:32,,176,3,63,
1081165752621764608,Saeedeh Ahmadzadeh,2019-01-04 12:29:37,2019-12-29 11:25:32,74,22,31,Tabriz.iran
1201156989436473344,frz,2019-12-01 15:12:22,2019-12-29 22:52:00,92,99,325,Everywhere of nowhere
1191680846136332288,mhmd,2019-11-05 11:37:21,,22,43,56,Islamic Republic of Iran
976107484351029248,Shiva Esmaielpour,2018-03-20 14:45:34,2019-12-29 11:25:32,6,28,72,Tabriz
1195364513383636992,maryam Rasoulzadeh,2019-11-15 15:35:07,2019-12-29 11:25:32,0,6,19,"Iran, Tabriz"
1194828796702142464,Hossein,2019-11-14 04:06:17,2015-09-13 13:25:55,2,14,255,
1170815888733474816,Mohaddese.amidfar,2019-09-08 21:49:00,,4,51,86,myhome
1182645400194424832,Naqmeh Hashemi,2019-10-11 13:13:47,2019-12-29 11:25:32,154,1026,4971,Tehran
295020878,Mohammad Hussein Moradi,2011-05-08 06:42:32,2019-12-29 11:25:32,15,74,352,Islamic Republic of Iran
546506656,Iman,2012-04-06 04:11:48,2019-12-19 22:14:04,23464,2437,3341,تو عالم هپروت بین یه عالمه صفر
1192753481393885184,rahaa😊,2019-11-08 10:39:35,,62,85,330,#
867688885903654912,Sirus Masumi,2017-05-25 10:28:46,2019-12-29 11:25:32,1,6,17,"Tabriz , Iran"
1168621505430851584,Mj.Mokhtari,2019-09-02 20:28:26,,87,178,806,
1096668284857053184,Ali_Abdolazimi,2019-02-16 07:11:08,,0,47,57,
32931447,iSaeed,2009-04-18 16:26:03,2018-08-30 23:43:50,401,228,1184,IRAN
1185271551953903616,Asemaneh,2019-10-18 19:09:02,,667,61,178,mashhad
610833618,۹۲رضا,2012-06-17 12:05:35,,2434,391,474,ایران
1185077799104712704,Amir,2019-10-18 06:19:27,2019-12-26 18:33:09,2,6,37,
847894308153962496,Air To Headجان نسار برف,2017-03-31 19:32:10,2019-12-29 11:25:32,927,105,371,Islamic Republic of Iran
775160658,Bedirhan,2012-08-23 04:35:04,2019-08-06 17:45:43,4985,448,295,Tehran - Iran
1106456495561027584,B. Mohammad Hoseini,2019-03-15 07:26:00,2019-12-29 11:25:32,1,14,31,
948584556965384192,Hamid Omidiani,2018-01-03 15:59:17,2019-12-29 11:25:32,5,30,240,
1179901657251008517,Hadi Mohammadi,2019-10-03 23:32:00,2019-12-29 11:25:32,0,1,11,Islamic Republic of Iran
1177089499483951104,Forough Shirin Abkenar,2019-09-26 05:16:31,2019-12-29 11:25:32,0,1,15,"Sydney, New South Wales"
1175127958115233792,TabrizOpenTalks,2019-09-20 19:22:10,,6,44,142,Iran/Tabriz
1154271180242792449,Thisisfarhadzadeh,2019-07-25 06:04:29,,409,78,504,iran
950285904710656000,AhmadReza Sadeghi,2018-01-08 08:39:49,2019-12-29 11:25:32,196,161,408,
1099075815667580930,Sina Honarvar,2019-02-22 22:37:49,2019-12-29 11:25:32,438,98,203,Kurdistan
991585872,Babak,2012-12-05 19:19:23,,306,25,57,
1168060518722166784,TabrizCert,2019-09-01 07:21:25,2019-12-30 12:44:06,189,110,617,"ایران, تبریز"
949331362477170688,Amin Hosseini,2018-01-05 17:26:49,2019-12-29 11:25:32,58,48,126,
1167678246667730944,Ehsan Momeni Bashusqeh,2019-08-31 05:59:31,2019-12-29 11:25:32,136,103,734,"Kuala Lumpur, Malaysia"
983305816206913537,Ali Barin,2018-04-09 11:29:10,2019-12-29 11:25:32,18,116,283,Islamic Republic of Iran
